-0.25508,-0.24219,0.49043,0.20853,0.13644,-0.080426
-0.26006,-0.23415,0.47393,0.24163,0.16644,-0.047897
-0.29714,-0.26838,0.082229,-0.096244,-0.29183,0.036324
-0.30113,-0.25187,0.10943,-0.031651,-0.20833,0.058024
-0.25868,-0.27681,-0.3914,0.039292,-0.61592,-0.282
-0.24839,-0.30187,-0.41896,-0.14758,0.4583,0.16997
-0.28815,-0.24625,-0.26166,-0.16276,0.3647,0.19592
0.29212,-0.24982,-0.11982,0.46175,0.026039,0.026329
0.25639,-0.31865,-0.2406,0.58405,0.096168,-0.096258
0.29105,-0.2874,0.12029,-0.15342,-0.15919,0.4007
0.291,-0.28769,0.11995,-0.15319,-0.15983,0.39947
0.27544,-0.3125,0.072722,-0.37873,0.20317,-0.71388
0.28347,-0.30934,0.11205,-0.30541,-0.025193,0.0062537
