-0.28727,-0.22145,0.43373,0.070685,-0.047538,0.044847
-0.28724,-0.20232,0.46479,-0.077175,-0.086901,0.4426
-0.29806,-0.23815,0.13081,0.0022444,0.10236,-0.29191
-0.30144,-0.22474,0.18014,-0.085864,0.059951,0.014509
-0.28404,-0.24406,-0.18495,-0.32156,0.50728,-0.47896
-0.25992,-0.2773,-0.56299,-0.029397,-0.2892,0.10478
-0.28514,-0.24315,-0.38439,-0.027017,-0.29115,0.28324
0.30314,-0.16213,0.06437,-0.48958,0.076593,0.13916
0.29013,-0.20188,-0.037725,-0.57323,0.11607,0.30321
0.26607,-0.34048,0.11632,0.016842,-0.33108,-0.29273
0.26602,-0.34064,0.11601,0.016968,-0.33056,-0.29253
0.22073,-0.39433,-0.12169,0.48826,0.55771,0.32895
0.24365,-0.3908,-0.0024509,0.26349,-0.033258,-0.072739
